country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 10:00:00",13.328028,75.797056,OZONE,12,29,17
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","14-04-2025 10:00:00",14.475800,75.905200,SO2,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 10:00:00",8.8787,76.6073,PM10,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 10:00:00",8.8787,76.6073,NO2,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 10:00:00",8.8787,76.6073,NH3,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 10:00:00",8.8787,76.6073,OZONE,31,36,31
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","14-04-2025 10:00:00",8.563700,76.886500,NO2,6,7,7
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","14-04-2025 10:00:00",8.563700,76.886500,OZONE,36,37,36
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 10:00:00",8.5149093,76.9435879,PM10,9,121,48
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 10:00:00",8.5149093,76.9435879,NO2,5,14,9
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 10:00:00",8.5149093,76.9435879,OZONE,11,29,19
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","14-04-2025 10:00:00",17.336318,76.847397,CO,30,104,47
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","14-04-2025 10:00:00",15.347630,76.181767,OZONE,5,50,12
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","14-04-2025 10:00:00",12.889250,74.853000,OZONE,18,19,18
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","14-04-2025 10:00:00",12.21041,76.37376,NH3,3,6,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","14-04-2025 10:00:00",12.21041,76.37376,OZONE,16,122,31
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","14-04-2025 10:00:00",12.733409,77.298051,NH3,NA,NA,NA
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","14-04-2025 10:00:00",15.459706,75.008381,CO,28,88,35
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","14-04-2025 10:00:00",15.411456,75.638133,PM10,40,66,56
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","14-04-2025 10:00:00",15.3714823,75.1160168,SO2,2,3,2
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","14-04-2025 10:00:00",17.321993,76.822628,PM10,NA,NA,NA
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","14-04-2025 10:00:00",17.321993,76.822628,NH3,1,1,1
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","14-04-2025 10:00:00",17.336318,76.847397,PM10,28,50,33
